OR4F5	NM_001005484
AL627309.1	ENST00000423372
OR4F29	NM_001005221
OR4F16	NM_001005277
AL669831.1	ENST00000599533
AL645608.2	ENST00000594233
AL645608.1	ENST00000598827
SAMD11	NM_152486
NOC2L	NM_015658
KLHL17	NM_198317
PLEKHN1	NM_032129
C1orf170	ENST00000433179
PERM1	NM_001291366
HES4	NM_001142467
ISG15	NM_005101
AGRN	NM_198576
RNF223	NM_001205252
C1orf159	NM_017891
TTLL10	NM_001130045
TNFRSF18	NM_148901
TNFRSF4	NM_003327
SDF4	NM_016176
B3GALT6	NM_080605
FAM132A	NM_001014980
UBE2J2	NM_194315
SCNN1D	NM_001130413
ACAP3	NM_030649
PUSL1	NM_153339
CPSF3L	NM_001256456
GLTPD1	NM_001029885
TAS1R3	NM_152228
DVL1	NM_004421
MXRA8	NM_001282585
AURKAIP1	NM_001127229
CCNL2	NM_030937
RP4-758J18.2	ENST00000448629
MRPL20	NM_017971
ANKRD65	NM_001145210
TMEM88B	NM_001146685
VWA1	NM_022834
ATAD3C	NM_001039211
ATAD3B	NM_031921
ATAD3A	NM_018188
TMEM240	NM_001114748
SSU72	NM_014188
AL645728.1	ENST00000366221
C1orf233	NM_001242659
MIB2	NM_080875
MMP23B	NM_006983
CDK11B	NM_001787
SLC35E2B	NM_001290264
CDK11A	NM_024011
SLC35E2	NM_182838
NADK	NM_001198994
GNB1	NM_002074
CALML6	NM_138705
TMEM52	NM_178545
C1orf222	ENST00000493964
KIAA1751	NM_001080484
GABRD	NM_000815
PRKCZ	NM_002744
C1orf86	NM_001282670
AL590822.2	ENST00000597060
AL590822.1	ENST00000545087
SKI	NM_003036
MORN1	NM_024848
AL589739.1	ENST00000600779
RER1	NM_007033
PEX10	NM_153818
PLCH2	NM_014638
PANK4	NM_018216
HES5	NM_001010926
TNFRSF14	NM_003820
FAM213B	NM_001195736
MMEL1	NM_033467
TTC34	NM_001242672
ACTRT2	NM_080431
PRDM16	NM_022114
ARHGEF16	NM_014448
MEGF6	NM_001409
TPRG1L	NM_182752
WRAP73	NM_017818
TP73	NM_005427
CCDC27	NM_152492
SMIM1	NM_001288583
LRRC47	NM_020710
CEP104	NM_014704
DFFB	NM_001282669
C1orf174	NM_207356
AJAP1	NM_018836
NPHP4	NM_015102
AL035406.1	ENST00000594544
KCNAB2	NM_001199862
CHD5	NM_015557
RPL22	NM_000983
RNF207	NM_207396
ICMT	NM_012405
HES3	NM_001024598
GPR153	NM_207370
ACOT7	NM_181864
HES2	NM_019089
ESPN	NM_031475
TNFRSF25	NM_148965
PLEKHG5	NM_001265592
NOL9	NM_024654
TAS1R1	NM_138697
ZBTB48	NM_005341
KLHL21	NM_014851
PHF13	NM_153812
THAP3	NM_001195753
DNAJC11	NM_018198
CAMTA1	NM_015215
VAMP3	NM_004781
